--- Comunify Seeded & Registered Passwords --- 

[SEEDED] Role: super_admin (global) | Email: quisoft.in@gmail.com | Password: admin123 | Society: System
[SEEDED] Role: demo_super_admin | Email: demo+super_admin@quisoft.in | Password: demo | Society: System
[SEEDED] Role: demo_society_admin | Email: demo+society_admin@quisoft.in | Password: demo | Society: Prestige Kingfisher Towers
[SEEDED] Role: demo_resident | Email: demo+resident@quisoft.in | Password: demo | Society: Prestige Kingfisher Towers
[SEEDED] Role: demo_security_guard | Email: demo+security_guard@quisoft.in | Password: demo | Society: Prestige Kingfisher Towers
[SEEDED] Role: Super Admin | Email: superadmin@prestigekingfishertowers.quisoft.in | Password: superadmin_prestigekingfishertowers_pass | Society: Prestige Kingfisher Towers
[SEEDED] Role: Society Admin | Email: admin@prestigekingfishertowers.quisoft.in | Password: admin_prestigekingfishertowers_pass | Society: Prestige Kingfisher Towers
[SEEDED] Role: Security Guard | Email: guard@prestigekingfishertowers.quisoft.in | Password: guard_prestigekingfishertowers_pass | Society: Prestige Kingfisher Towers
[SEEDED] Role: Resident | Email: resident@prestigekingfishertowers.quisoft.in | Password: resident_prestigekingfishertowers_pass | Society: Prestige Kingfisher Towers
[SEEDED] Role: Super Admin | Email: superadmin@phoenixonebangalorewest.quisoft.in | Password: superadmin_phoenixonebangalorewest_pass | Society: Phoenix One Bangalore West
[SEEDED] Role: Society Admin | Email: admin@phoenixonebangalorewest.quisoft.in | Password: admin_phoenixonebangalorewest_pass | Society: Phoenix One Bangalore West
[SEEDED] Role: Security Guard | Email: guard@phoenixonebangalorewest.quisoft.in | Password: guard_phoenixonebangalorewest_pass | Society: Phoenix One Bangalore West
[SEEDED] Role: Resident | Email: resident@phoenixonebangalorewest.quisoft.in | Password: resident_phoenixonebangalorewest_pass | Society: Phoenix One Bangalore West
[SEEDED] Role: Super Admin | Email: superadmin@totalenvironmentwindmillsofyourmind.quisoft.in | Password: superadmin_totalenvironmentwindmillsofyourmind_pass | Society: Total Environment Windmills of Your Mind
[SEEDED] Role: Society Admin | Email: admin@totalenvironmentwindmillsofyourmind.quisoft.in | Password: admin_totalenvironmentwindmillsofyourmind_pass | Society: Total Environment Windmills of Your Mind
[SEEDED] Role: Security Guard | Email: guard@totalenvironmentwindmillsofyourmind.quisoft.in | Password: guard_totalenvironmentwindmillsofyourmind_pass | Society: Total Environment Windmills of Your Mind
[SEEDED] Role: Resident | Email: resident@totalenvironmentwindmillsofyourmind.quisoft.in | Password: resident_totalenvironmentwindmillsofyourmind_pass | Society: Total Environment Windmills of Your Mind
[SEEDED] Role: Super Admin | Email: superadmin@embassyboulevard.quisoft.in | Password: superadmin_embassyboulevard_pass | Society: Embassy Boulevard
[SEEDED] Role: Society Admin | Email: admin@embassyboulevard.quisoft.in | Password: admin_embassyboulevard_pass | Society: Embassy Boulevard
[SEEDED] Role: Security Guard | Email: guard@embassyboulevard.quisoft.in | Password: guard_embassyboulevard_pass | Society: Embassy Boulevard
[SEEDED] Role: Resident | Email: resident@embassyboulevard.quisoft.in | Password: resident_embassyboulevard_pass | Society: Embassy Boulevard
[SEEDED] Role: Super Admin | Email: superadmin@sobharoyalpavilion.quisoft.in | Password: superadmin_sobharoyalpavilion_pass | Society: Sobha Royal Pavilion
[SEEDED] Role: Society Admin | Email: admin@sobharoyalpavilion.quisoft.in | Password: admin_sobharoyalpavilion_pass | Society: Sobha Royal Pavilion
[SEEDED] Role: Security Guard | Email: guard@sobharoyalpavilion.quisoft.in | Password: guard_sobharoyalpavilion_pass | Society: Sobha Royal Pavilion
[SEEDED] Role: Resident | Email: resident@sobharoyalpavilion.quisoft.in | Password: resident_sobharoyalpavilion_pass | Society: Sobha Royal Pavilion
[SEEDED] Role: Super Admin | Email: superadmin@karleinfrazenith.quisoft.in | Password: superadmin_karleinfrazenith_pass | Society: Karle Infra Zenith
[SEEDED] Role: Society Admin | Email: admin@karleinfrazenith.quisoft.in | Password: admin_karleinfrazenith_pass | Society: Karle Infra Zenith
[SEEDED] Role: Security Guard | Email: guard@karleinfrazenith.quisoft.in | Password: guard_karleinfrazenith_pass | Society: Karle Infra Zenith
[SEEDED] Role: Resident | Email: resident@karleinfrazenith.quisoft.in | Password: resident_karleinfrazenith_pass | Society: Karle Infra Zenith
[SEEDED] Role: Super Admin | Email: superadmin@mantrialpynepremiumenclave.quisoft.in | Password: superadmin_mantrialpynepremiumenclave_pass | Society: Mantri Alpyne Premium Enclave
[SEEDED] Role: Society Admin | Email: admin@mantrialpynepremiumenclave.quisoft.in | Password: admin_mantrialpynepremiumenclave_pass | Society: Mantri Alpyne Premium Enclave
[SEEDED] Role: Security Guard | Email: guard@mantrialpynepremiumenclave.quisoft.in | Password: guard_mantrialpynepremiumenclave_pass | Society: Mantri Alpyne Premium Enclave
[SEEDED] Role: Resident | Email: resident@mantrialpynepremiumenclave.quisoft.in | Password: resident_mantrialpynepremiumenclave_pass | Society: Mantri Alpyne Premium Enclave
[SEEDED] Role: Super Admin | Email: superadmin@purvawhitehall.quisoft.in | Password: superadmin_purvawhitehall_pass | Society: Purva Whitehall
[SEEDED] Role: Society Admin | Email: admin@purvawhitehall.quisoft.in | Password: admin_purvawhitehall_pass | Society: Purva Whitehall
[SEEDED] Role: Security Guard | Email: guard@purvawhitehall.quisoft.in | Password: guard_purvawhitehall_pass | Society: Purva Whitehall
[SEEDED] Role: Resident | Email: resident@purvawhitehall.quisoft.in | Password: resident_purvawhitehall_pass | Society: Purva Whitehall
[SEEDED] Role: Super Admin | Email: superadmin@salarpuriasattvamagnificia.quisoft.in | Password: superadmin_salarpuriasattvamagnificia_pass | Society: Salarpuria Sattva Magnificia
[SEEDED] Role: Society Admin | Email: admin@salarpuriasattvamagnificia.quisoft.in | Password: admin_salarpuriasattvamagnificia_pass | Society: Salarpuria Sattva Magnificia
[SEEDED] Role: Security Guard | Email: guard@salarpuriasattvamagnificia.quisoft.in | Password: guard_salarpuriasattvamagnificia_pass | Society: Salarpuria Sattva Magnificia
[SEEDED] Role: Resident | Email: resident@salarpuriasattvamagnificia.quisoft.in | Password: resident_salarpuriasattvamagnificia_pass | Society: Salarpuria Sattva Magnificia
[SEEDED] Role: Super Admin | Email: superadmin@brigadeexotica.quisoft.in | Password: superadmin_brigadeexotica_pass | Society: Brigade Exotica
[SEEDED] Role: Society Admin | Email: admin@brigadeexotica.quisoft.in | Password: admin_brigadeexotica_pass | Society: Brigade Exotica
[SEEDED] Role: Security Guard | Email: guard@brigadeexotica.quisoft.in | Password: guard_brigadeexotica_pass | Society: Brigade Exotica
[SEEDED] Role: Resident | Email: resident@brigadeexotica.quisoft.in | Password: resident_brigadeexotica_pass | Society: Brigade Exotica
[SEEDED] Role: Super Admin | Email: superadmin@assetzmarqelite.quisoft.in | Password: superadmin_assetzmarqelite_pass | Society: Assetz Marq Elite
[SEEDED] Role: Society Admin | Email: admin@assetzmarqelite.quisoft.in | Password: admin_assetzmarqelite_pass | Society: Assetz Marq Elite
[SEEDED] Role: Security Guard | Email: guard@assetzmarqelite.quisoft.in | Password: guard_assetzmarqelite_pass | Society: Assetz Marq Elite
[SEEDED] Role: Resident | Email: resident@assetzmarqelite.quisoft.in | Password: resident_assetzmarqelite_pass | Society: Assetz Marq Elite
